ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1693341	NM_022806.2	15	SNRPN	-1.42
ILMN_1656537	NM_022806.2	15	SNRPN	-1.42
ILMN_1669380	NM_001031855.1	X	LONRF3	-1.42
ILMN_2121816	NM_003272.1	1	GPR137B	-1.43
ILMN_1723971	NM_001078174.1	6	SLC29A1	-1.44
ILMN_1758719	NM_006403.2	6	NEDD9	-1.45
ILMN_1849494				-1.46
ILMN_2335813	NM_001024070.1	14	GCH1	-1.46
ILMN_1670693	NM_005357.2	19	LIPE	-1.48
ILMN_2347798	NM_022872.2	1	IFI6	-1.48
ILMN_1763638	NM_003567.2	1	BCAR3	-1.50
ILMN_2361400	NM_015657.3	2	ABCA12	-1.50
ILMN_1660000	NM_005678.3	15	SNURF	-1.50
ILMN_1683487	NM_003444.1	19	ZNF154	-1.51
ILMN_1790455	NM_005581.3	19	BCAM	-1.51
ILMN_1653200	NM_016609.3	14	SLC22A17	-1.53
ILMN_1665792	NM_002203.3	5	ITGA2	-1.53
ILMN_1805765	NM_153610.3	5	CMYA5	-1.54
ILMN_2383611	NM_130435.2	10	PTPRE	-1.57
ILMN_1725204	XM_943964.1		LOC649859	-1.57
ILMN_1716265	NM_173582.3	11	PGM2L1	-1.58
ILMN_2355831	NM_201555.1	2	FHL2	-1.58
ILMN_1784256	NM_016073.2	15	HDGFRP3	-1.58
ILMN_1767337	NM_144579.1	2	SFXN5	-1.59
ILMN_1708223	NM_020168.3	15	PAK6	-1.64
ILMN_1679318	NM_024590.3	4	ARSJ	-1.65
ILMN_1751034	NM_001034841.2	16	LOC162073	-1.69
ILMN_1723480	NM_004335.2	19	BST2	-1.69
ILMN_1659027	NM_006516.1	1	SLC2A1	-1.71
ILMN_1713088	NM_138962.2	17	MSI2	-1.71
ILMN_1676159	NM_016542.3	X	MST4	-1.73
ILMN_1656501	NM_004419.3	10	DUSP5	-1.74
ILMN_1802205	NM_004040.2	2	RHOB	-1.75
ILMN_1819608				-1.75
ILMN_1721901	NM_003798.2	9	CTNNAL1	-1.77
ILMN_1732410	NM_194298.1	10	SLC16A9	-1.77
ILMN_2328776	NM_001042453.1	X	MST4	-1.78
ILMN_1657766	NM_012101.3	11	TRIM29	-1.78
ILMN_2167426	NM_020437.3	22	ASPHD2	-1.79
ILMN_1771962	NM_000168.2	7	GLI3	-1.80
ILMN_1657381	NM_177532.3	4	RASSF6	-1.80
ILMN_1766499	NM_021979.3	14	HSPA2	-1.81
ILMN_1661137	NM_152550.2	5	SH3RF2	-1.82
ILMN_1671478	NM_001823.3	14	CKB	-1.82
ILMN_2214355	NM_014488.3	11	RAB30	-1.83
ILMN_1803691	NM_057091.1	1	ARTN	-1.83
ILMN_1694213	NM_016274.4	1	PLEKHO1	-1.83
ILMN_2374683	NM_080684.1	4	PTPN13	-1.84
ILMN_1761820	NM_145861.2	1	EDARADD	-1.84
ILMN_1791949	NM_032507.2	6	PGBD1	-1.84
ILMN_1744118	NM_198186.2	9	ASTN2	-1.89
ILMN_1651498	NM_006705.2	9	GADD45G	-1.89
ILMN_1759097	NM_006818.3	1	MLLT11	-1.90
ILMN_1720270	NM_001802.1	16	CDR2	-1.91
ILMN_1716382	NM_207376.1	12	LOC387882	-1.91
ILMN_2153916	NM_021979.2	14	HSPA2	-1.93
ILMN_1704369	NM_016357.3	12	LIMA1	-1.96
ILMN_1700541	NM_001996.2	22	FBLN1	-1.97
ILMN_1736704	NM_001037954.2	11	DIXDC1	-1.97
ILMN_1745820	NM_201431.1	4	RASSF6	-1.98
ILMN_1819783				-1.99
ILMN_1796737	XM_113971.4	18	APM-1	-1.99
ILMN_1717793	NM_033520.1	19	C19orf33	-2.00
ILMN_1784602	NM_000389.2	6	CDKN1A	-2.00
ILMN_1680110	NM_006829.2	10	C10orf116	-2.01
ILMN_1909156				-2.01
ILMN_2188521	NM_015480.1	3	PVRL3	-2.02
ILMN_1740900	NM_130851.1	14	BMP4	-2.02
ILMN_1657451	NM_182691.1	7	SRPK2	-2.03
ILMN_1719641	NM_022138.1	6	SMOC2	-2.03
ILMN_2075643	NM_173505.2	18	ANKRD29	-2.03
ILMN_2058795	NM_016134.2	8	PGCP	-2.05
ILMN_1790778	NM_007257.4	8	PNMA2	-2.06
ILMN_1693090	NM_021151.2	7	CROT	-2.06
ILMN_1695432	NM_001008566.1	22	TPST2	-2.07
ILMN_2329679	NM_001008566.1	22	TPST2	-2.08
ILMN_1719543	NM_005360.3	16	MAF	-2.11
ILMN_2394305	NM_033016.1	22	PDGFB	-2.11
ILMN_1796229	NM_023106.2	8	FGFR1	-2.12
ILMN_1758404	NM_003221.3	6	TFAP2B	-2.12
ILMN_2172174	NM_000270.1	14	NP	-2.14
ILMN_1744949	NM_014899.3	5	RHOBTB3	-2.14
ILMN_1685122	NM_001852.3	1	COL9A2	-2.16
ILMN_1800317	NM_003392.3	3	WNT5A	-2.17
ILMN_1668411	NM_201557.2	2	FHL2	-2.20
ILMN_1681984	NM_017540.3	5	GALNT10	-2.21
ILMN_2398261	NM_023107.2	8	FGFR1	-2.21
ILMN_1713266	NM_017709.3	1	FAM46C	-2.24
ILMN_1753913	NM_024911.4	1	GPR177	-2.24
ILMN_1767662	NM_203463.1	2	LASS6	-2.25
ILMN_1797009	NM_001993.2	1	F3	-2.26
ILMN_2129572	NM_001993.2	1	F3	-2.26
ILMN_1772446	NM_032829.1	12	C12orf34	-2.27
ILMN_1792679	NM_002205.2	12	ITGA5	-2.30
ILMN_1741847	NM_002425.1	11	MMP10	-2.31
ILMN_1656837	NM_002899.2	3	RBP1	-2.33
ILMN_1721876	NM_003255.4	17	TIMP2	-2.38
ILMN_1743933	NM_020856.2	19	TSHZ3	-2.38
ILMN_2364521	NM_021913.2	19	AXL	-2.41
ILMN_2073289	NM_014751.2	8	MTSS1	-2.41
ILMN_1810864	NM_153321.1	17	PMP22	-2.44
ILMN_1720282	NM_000903.2	16	NQO1	-2.44
ILMN_1675797	NM_017549.3	7	EPDR1	-2.45
ILMN_1720513	NM_015559.1	18	SETBP1	-2.45
ILMN_1738578	NM_014890.2	3	FILIP1L	-2.49
ILMN_1789505	NM_002222.4	3	ITPR1	-2.50
ILMN_1691884	NM_003714.2	5	STC2	-2.51
ILMN_1775822	NM_002608.1	22	PDGFB	-2.52
ILMN_1760849	NM_018092.3	16	NETO2	-2.53
ILMN_1663080	NM_001040167.1	7	LFNG	-2.55
ILMN_1785646	NM_153321.1	17	PMP22	-2.55
ILMN_2399769	NM_001002292.1	1	GPR177	-2.56
ILMN_1670305	NM_001032295.1	11	SERPING1	-2.56
ILMN_1660549	NM_001002292.1	1	GPR177	-2.58
ILMN_1789639	NM_002023.3	1	FMOD	-2.59
ILMN_1713995	NM_001038.4	12	SCNN1A	-2.59
ILMN_1701877	NM_021913.2	19	AXL	-2.62
ILMN_1704753	NM_001430.3	2	EPAS1	-2.66
ILMN_1799028	NM_005723.2	4	TSPAN5	-2.67
ILMN_2072622	NM_024534.4	4	FLJ12684	-2.70
ILMN_2186137	NM_004165.1	16	RRAD	-2.70
ILMN_1780170	NM_001647.2	3	APOD	-2.71
ILMN_1687315	NM_002957.3	9	RXRA	-2.71
ILMN_1713744	NM_020215.2	14	C14orf132	-2.73
ILMN_1663640	NM_000240.2	X	MAOA	-2.75
ILMN_1663032	NM_022823.1	2	FNDC4	-2.76
ILMN_1761941	NM_016613.5	4	C4orf18	-2.77
ILMN_2212999	NM_004522.1	2	KIF5C	-2.79
ILMN_1791280	NM_014365.2	12	HSPB8	-2.84
ILMN_1722798	NM_133373.3	17	PLCD3	-2.85
ILMN_2297765	NM_002247.2	10	KCNMA1	-2.86
ILMN_1716370	NM_032865.4		TNS4	-2.86
ILMN_1671260	NM_001002292.1	1	GPR177	-2.89
ILMN_1720452	NM_001031855.1	X	LONRF3	-2.90
ILMN_2375360	NM_033380.1	X	COL4A5	-2.91
ILMN_1742534	NM_000495.3	X	COL4A5	-2.97
ILMN_2283325	NM_024911.4	1	GPR177	-2.99
ILMN_1814221	NM_002522.2	17	NPTX1	-3.20
ILMN_1708934	NM_001124.1	11	ADM	-3.21
ILMN_1794863	NM_018584.5	1	CAMK2N1	-3.22
ILMN_1695475	NM_006379.2	7	SEMA3C	-3.23
ILMN_1653934	XR_019109.1		LOC650517	-3.26
ILMN_1754126	XM_375698.3	1	SH2D5	-3.28
ILMN_1675857	NM_001847.2	X	COL4A6	-3.30
ILMN_1732296	NM_002167.2	1	ID3	-3.33
ILMN_1731374	NM_001873.1	4	CPE	-3.33
ILMN_1665865	NM_001552.2	17	IGFBP4	-3.52
ILMN_2234697	NM_018476.3	X	BEX1	-3.57
ILMN_1743232	NM_032867.2	11	MICALCL	-3.63
ILMN_1810054	NM_001299.4	19	CNN1	-3.71
ILMN_1725193	NM_000597.2	2	IGFBP2	-3.85
ILMN_1731206	NM_033120.2	5	NKD2	-4.21
